DATE,GDP,Compensation of Employees,Unemployment Rate,Population Growth,Customer Price Index Seasonally Adjusted,Customer Price Index not Seasonally Adjusted,Customer Sentiment
1913-01-01,,,,,,9.8,
1913-02-01,,,,,,9.8,
1913-03-01,,,,,,9.8,
1913-04-01,,,,,,9.8,
1913-05-01,,,,,,9.7,
1913-06-01,,,,,,9.8,
1913-07-01,,,,,,9.9,
1913-08-01,,,,,,9.9,
1913-09-01,,,,,,10.0,
1913-10-01,,,,,,10.0,
1913-11-01,,,,,,10.1,
1913-12-01,,,,,,10.0,
1914-01-01,,,,,,10.0,
1914-02-01,,,,,,9.9,
1914-03-01,,,,,,9.9,
1914-04-01,,,,,,9.8,
1914-05-01,,,,,,9.9,
1914-06-01,,,,,,9.9,
1914-07-01,,,,,,10.0,
1914-08-01,,,,,,10.2,
1914-09-01,,,,,,10.2,
1914-10-01,,,,,,10.1,
1914-11-01,,,,,,10.2,
1914-12-01,,,,,,10.1,
1915-01-01,,,,,,10.1,
1915-02-01,,,,,,10.0,
1915-03-01,,,,,,9.9,
1915-04-01,,,,,,10.0,
1915-05-01,,,,,,10.1,
1915-06-01,,,,,,10.1,
1915-07-01,,,,,,10.1,
1915-08-01,,,,,,10.1,
1915-09-01,,,,,,10.1,
1915-10-01,,,,,,10.2,
1915-11-01,,,,,,10.3,
1915-12-01,,,,,,10.3,
1916-01-01,,,,,,10.4,
1916-02-01,,,,,,10.4,
1916-03-01,,,,,,10.5,
1916-04-01,,,,,,10.6,
1916-05-01,,,,,,10.7,
1916-06-01,,,,,,10.8,
1916-07-01,,,,,,10.8,
1916-08-01,,,,,,10.9,
1916-09-01,,,,,,11.1,
1916-10-01,,,,,,11.3,
1916-11-01,,,,,,11.5,
1916-12-01,,,,,,11.6,
1917-01-01,,,,,,11.7,
1917-02-01,,,,,,12.0,
1917-03-01,,,,,,12.0,
1917-04-01,,,,,,12.6,
1917-05-01,,,,,,12.8,
1917-06-01,,,,,,13.0,
1917-07-01,,,,,,12.8,
1917-08-01,,,,,,13.0,
1917-09-01,,,,,,13.3,
1917-10-01,,,,,,13.5,
1917-11-01,,,,,,13.5,
1917-12-01,,,,,,13.7,
1918-01-01,,,,,,14.0,
1918-02-01,,,,,,14.1,
1918-03-01,,,,,,14.0,
1918-04-01,,,,,,14.2,
1918-05-01,,,,,,14.5,
1918-06-01,,,,,,14.7,
1918-07-01,,,,,,15.1,
1918-08-01,,,,,,15.4,
1918-09-01,,,,,,15.7,
1918-10-01,,,,,,16.0,
1918-11-01,,,,,,16.3,
1918-12-01,,,,,,16.5,
1919-01-01,,,,,,16.5,
1919-02-01,,,,,,16.2,
1919-03-01,,,,,,16.4,
1919-04-01,,,,,,16.7,
1919-05-01,,,,,,16.9,
1919-06-01,,,,,,16.9,
1919-07-01,,,,,,17.4,
1919-08-01,,,,,,17.7,
1919-09-01,,,,,,17.8,
1919-10-01,,,,,,18.1,
1919-11-01,,,,,,18.5,
1919-12-01,,,,,,18.9,
1920-01-01,,,,,,19.3,
1920-02-01,,,,,,19.5,
1920-03-01,,,,,,19.7,
1920-04-01,,,,,,20.3,
1920-05-01,,,,,,20.6,
1920-06-01,,,,,,20.9,
1920-07-01,,,,,,20.8,
1920-08-01,,,,,,20.3,
1920-09-01,,,,,,20.0,
1920-10-01,,,,,,19.9,
1920-11-01,,,,,,19.8,
1920-12-01,,,,,,19.4,
1921-01-01,,,,,,19.0,
1921-02-01,,,,,,18.4,
1921-03-01,,,,,,18.3,
1921-04-01,,,,,,18.1,
1921-05-01,,,,,,17.7,
1921-06-01,,,,,,17.6,
1921-07-01,,,,,,17.7,
1921-08-01,,,,,,17.7,
1921-09-01,,,,,,17.5,
1921-10-01,,,,,,17.5,
1921-11-01,,,,,,17.4,
1921-12-01,,,,,,17.3,
1922-01-01,,,,,,16.9,
1922-02-01,,,,,,16.9,
1922-03-01,,,,,,16.7,
1922-04-01,,,,,,16.7,
1922-05-01,,,,,,16.7,
1922-06-01,,,,,,16.7,
1922-07-01,,,,,,16.8,
1922-08-01,,,,,,16.6,
1922-09-01,,,,,,16.6,
1922-10-01,,,,,,16.7,
1922-11-01,,,,,,16.8,
1922-12-01,,,,,,16.9,
1923-01-01,,,,,,16.8,
1923-02-01,,,,,,16.8,
1923-03-01,,,,,,16.8,
1923-04-01,,,,,,16.9,
1923-05-01,,,,,,16.9,
1923-06-01,,,,,,17.0,
1923-07-01,,,,,,17.2,
1923-08-01,,,,,,17.1,
1923-09-01,,,,,,17.2,
1923-10-01,,,,,,17.3,
1923-11-01,,,,,,17.3,
1923-12-01,,,,,,17.3,
1924-01-01,,,,,,17.3,
1924-02-01,,,,,,17.2,
1924-03-01,,,,,,17.1,
1924-04-01,,,,,,17.0,
1924-05-01,,,,,,17.0,
1924-06-01,,,,,,17.0,
1924-07-01,,,,,,17.1,
1924-08-01,,,,,,17.0,
1924-09-01,,,,,,17.1,
1924-10-01,,,,,,17.2,
1924-11-01,,,,,,17.2,
1924-12-01,,,,,,17.3,
1925-01-01,,,,,,17.3,
1925-02-01,,,,,,17.2,
1925-03-01,,,,,,17.3,
1925-04-01,,,,,,17.2,
1925-05-01,,,,,,17.3,
1925-06-01,,,,,,17.5,
1925-07-01,,,,,,17.7,
1925-08-01,,,,,,17.7,
1925-09-01,,,,,,17.7,
